Бүтцийн_нэгжийн_дугаар,Бүтцийн_харьяалагдах_нэгжийн_дугаар,Бүтцийн_нэгжийн_нэр,Бүтцийн_харьяалагдах_нэгжийн_нэр
bbe431dcc28a93d6e4f56f57a3f4117c,1e20d50d456f1bb2ad84c338d4158964,Монгол Улсын Их Сургууль,Боловсрол Соёл Шинжлэх Ухааны Яам
55729407c8f1512168be1a3e13648a13,bbe431dcc28a93d6e4f56f57a3f4117c,Захиргааны нэгжүүд,Монгол Улсын Их Сургууль
ce0bc4a3037cc6d83b8c0840003e9140,bbe431dcc28a93d6e4f56f57a3f4117c,Бие даасан нэгжүүд,Монгол Улсын Их Сургууль
43b6fd57cdbd12a32c89d44344ef25cf,bbe431dcc28a93d6e4f56f57a3f4117c,Бүрэлдэхүүн/Салбар сургуулиуд,Монгол Улсын Их Сургууль
ac180a54e8446cf921d26db1e8282bea,55729407c8f1512168be1a3e13648a13,Захиргаа,Захиргааны нэгжүүд
4ffaec264153c95d8f05d4fa1db8e538,55729407c8f1512168be1a3e13648a13,"Багшийн хөгжил, цахим сургалтын төв",Захиргааны нэгжүүд
32200b643c854ccce44fa61c95cbf7ef,55729407c8f1512168be1a3e13648a13,"Инноваци, технологи дамжуулах төв",Захиргааны нэгжүүд
2d638f00e5d63bda702705229b806665,55729407c8f1512168be1a3e13648a13,"Захиргаа, хүний нөөцийн газар",Захиргааны нэгжүүд
292471bb4be78a153f9f55d30785211e,55729407c8f1512168be1a3e13648a13,Мэдээллийн технологийн газар,Захиргааны нэгжүүд
d59e2007033beab126bff40f204e5234,55729407c8f1512168be1a3e13648a13,Номын сан,Захиргааны нэгжүүд
57b5701b9e51467d4b5353ee5d28fa78,55729407c8f1512168be1a3e13648a13,"Оюутан, төгсөгчийн хэлтэс",Захиргааны нэгжүүд
476314fcb27dc04bdcd71b08fca0c605,55729407c8f1512168be1a3e13648a13,"Санхүү, төлөвлөлтийн газар",Захиргааны нэгжүүд
2e30660388f36d7b6880b739170bd4ce,55729407c8f1512168be1a3e13648a13,Хамтын ажиллагааны хэлтэс,Захиргааны нэгжүүд
