Өрөөний_хувийн_дугаар,Хичээлийн_байр,Өрөөний_дугаар,Харьяалах_сургуулийн_нэр,Өрөөний_зориулалт,Талбайн_хэмжээ,Хичээлийн_хуваарь_тавих_боломж,Суудлын_тоо,Проектортой_эсэх
83843faf2cb1d7a07d5f8e10ca4f04dc,Хичээлийн байр 4,107 б,Биеийн тамирын тэнхим,"Биеийн тамирын өрөө, зал ",37.00,Харъяа сургуульд,20,Проекторгүй
01d933b44332b92328b63e93389013cd,Хичээлийн байр 4,108,Биеийн тамирын тэнхим,Хичээлийн танхим,56.00,Харъяа сургуульд,30,Проекторгүй
1f354bd298d591ca68d1dcab01bdce1f,Хичээлийн байр 4,800,Биеийн тамирын тэнхим,"Биеийн тамирын өрөө, зал ",930.00,Харъяа сургуульд,50,Проекторгүй
8e1afd7d326014039944f4bb4f993ec2,Хичээлийн байр 4,100,Бизнесийн сургууль,Албан ажлын өрөө,40.00,Хуваарь тавих боломжгүй,0,Проекторгүй
0f99ef7ea4109ff6f39fc3bfa9dccdee,Хичээлийн байр 4,101,Бизнесийн сургууль,Анги,123.00,МУИС-н хэмжээнд,300,Проекторгүй
01e0aed8eaf70043f12701e5fdfda3d9,Хичээлийн байр 4,101 а,Бизнесийн сургууль,Агуулах,12.00,Хуваарь тавих боломжгүй,0,Проекторгүй
bc8a94522621465b36f1770d8295624f,Хичээлийн байр 4,102,Бизнесийн сургууль,Агуулах,11.00,Хуваарь тавих боломжгүй,2,Проекторгүй
4d398a7535601838737dbb67a9c45f7d,Хичээлийн байр 4,103,Бизнесийн сургууль,Агуулах,10.00,Хуваарь тавих боломжгүй,2,Проекторгүй
a2064d26657e612fe1b256b62da8b193,Хичээлийн байр 4,104,Бизнесийн сургууль,Агуулах,8.00,Хуваарь тавих боломжгүй,2,Проекторгүй
bcf3ff9563dc3c5bd63b33bd87372b55,Хичээлийн байр 4,105,Бизнесийн сургууль,Багш нарын өрөө,15.00,Хуваарь тавих боломжгүй,2,Проекторгүй
6f365f3a4060211778a6dea6a5ebb5e2,Хичээлийн байр 4,106,Бизнесийн сургууль,Багш нарын өрөө,11.00,Хуваарь тавих боломжгүй,3,Проекторгүй
356a33eae2d61cef339d4d5cf053a4e2,Хичээлийн байр 4,107 a,Бизнесийн сургууль,Албан ажлын өрөө,17.00,Хуваарь тавих боломжгүй,2,Проекторгүй
52d958a2c7add99580ef2abce9d0e5f4,Хичээлийн байр 4,109,Бизнесийн сургууль,Анги,49.00,МУИС-н хэмжээнд,36,Проектортой
d7903073e034c9bd0fcff04d71a084fe,Хичээлийн байр 4,110,Бизнесийн сургууль,Багш нарын өрөө,18.00,Хуваарь тавих боломжгүй,3,Проекторгүй
ca030c300a09c6b10f8ac62c9d11063c,Хичээлийн байр 4,111,Бизнесийн сургууль,Багш нарын өрөө,19.00,Хуваарь тавих боломжгүй,2,Проекторгүй
746213b808bb2bb46d412d3e5c69b87b,Хичээлийн байр 4,112,Бизнесийн сургууль,Анги,49.00,Харъяа сургуульд,36,Проектортой
8b4a2c530b6977717888fb45e3d31e6a,Хичээлийн байр 4,115,Бизнесийн сургууль,Албан ажлын өрөө,18.00,Хуваарь тавих боломжгүй,1,Проекторгүй
0cfe64e0018074d9c6f144a2f9faa8c4,Хичээлийн байр 4,116,Бизнесийн сургууль,Багш нарын өрөө,18.00,Хуваарь тавих боломжгүй,3,Проекторгүй
d9eb20e27dfdc4c1aea0651f6951fe32,Хичээлийн байр 4,117,Бизнесийн сургууль,Багш нарын өрөө,19.00,Хуваарь тавих боломжгүй,4,Проекторгүй
6c18b8785f246448a800ec14339304d1,Хичээлийн байр 4,118,Бизнесийн сургууль,Анги,53.00,Харъяа сургуульд,40,Проектортой
88ad997924ca41ff2841fca776e39052,Хичээлийн байр 4,119,Бизнесийн сургууль,Анги,55.00,МУИС-н хэмжээнд,50,Проектортой
1b459f9d8f59986e015511a436300848,Хичээлийн байр 4,120,Бизнесийн сургууль,Албан ажлын өрөө,11.00,Хуваарь тавих боломжгүй,5,Проекторгүй
773402e9e409bafb607de4036d655e7b,Хичээлийн байр 4,121,Бизнесийн сургууль,Албан ажлын өрөө,10.00,Хуваарь тавих боломжгүй,2,Проекторгүй
0e812e18e979a922da5746fe4b9e04f6,Хичээлийн байр 4,122,Бизнесийн сургууль,Анги,56.00,МУИС-н хэмжээнд,58,Проектортой
82ee3188ee155c70d644baf572b8d2d7,Хичээлийн байр 4,200,Бизнесийн сургууль,Багш нарын өрөө,11.00,Хуваарь тавих боломжгүй,1,Проекторгүй
9c21ff10c731097175ee48c04362a700,Хичээлийн байр 4,201,Бизнесийн сургууль,Албан ажлын өрөө,18.00,Хуваарь тавих боломжгүй,1,Проекторгүй
9cbe439edb5ad2ec7e232967b8987f69,Хичээлийн байр 4,201 а,Бизнесийн сургууль,Албан ажлын өрөө,38.00,Хуваарь тавих боломжгүй,1,Проекторгүй
ec686f19b81d3e8a58f1ba76048f69e2,Хичээлийн байр 4,202,Бизнесийн сургууль,Албан ажлын өрөө,15.00,Хуваарь тавих боломжгүй,3,Проекторгүй
aea31be0416d57fe18ce5bab147f6a17,Хичээлийн байр 4,203,Бизнесийн сургууль,Багш нарын өрөө,49.00,Хуваарь тавих боломжгүй,4,Проекторгүй
2e75ad3c1474a5d1e5542261de4c6045,Хичээлийн байр 4,204,Бизнесийн сургууль,Анги,57.00,МУИС-н хэмжээнд,33,Проектортой
071846efd7536378dd0deb3ddd01e10a,Хичээлийн байр 4,205,Бизнесийн сургууль,Анги,59.00,МУИС-н хэмжээнд,40,Проектортой
a331c85b19287a9747517265b9e7c88b,Хичээлийн байр 4,206,Бизнесийн сургууль,Анги,69.00,Харъяа сургуульд,60,Проектортой
b12c7a095141adb8a1f4e3113aa6bac3,Хичээлийн байр 4,208,Бизнесийн сургууль,Анги,28.00,МУИС-н хэмжээнд,25,Проектортой
5b7b4bb8653e01adcafa37e6854adc9c,Хичээлийн байр 4,209 a,Бизнесийн сургууль,Багш нарын өрөө,21.00,Хуваарь тавих боломжгүй,2,Проекторгүй
dc4dd23039a2c552e1d6513913d9c2d6,Хичээлийн байр 4,209 б,Бизнесийн сургууль,Багш нарын өрөө,37.00,Хуваарь тавих боломжгүй,4,Проекторгүй
427d74d9ead82a435f0bcedce71605bc,Хичээлийн байр 4,210a,Бизнесийн сургууль,Багш нарын өрөө,36.00,Хуваарь тавих боломжгүй,2,Проектортой
938b988d5c248316ef85c16e30445b37,Хичээлийн байр 4,210б,Бизнесийн сургууль,Анги,18.00,Харъяа сургуульд,18,Проектортой
64ee1c23b76fc078baf22793e454e903,Хичээлийн байр 4,211,Бизнесийн сургууль,Анги,57.00,Харъяа сургуульд,40,Проектортой
74a83995cf218b3a5f11bc25367e5f65,Хичээлийн байр 4,212,Бизнесийн сургууль,Багш нарын өрөө,11.00,Хуваарь тавих боломжгүй,1,Проекторгүй
b38bee27ff8be9cd8dedfde07a0ebecf,Хичээлийн байр 4,213,Бизнесийн сургууль,Багш нарын өрөө,10.00,Хуваарь тавих боломжгүй,1,Проекторгүй
7286174274fa0019e4466d7f1be3067f,Хичээлийн байр 4,214,Бизнесийн сургууль,Багш нарын өрөө,57.00,Хуваарь тавих боломжгүй,13,Проекторгүй
b8a28f14b96c0e4b07f9a05294efc29b,Хичээлийн байр 4,214 а,Бизнесийн сургууль,Цайны газар,13.00,Хуваарь тавих боломжгүй,0,Проекторгүй
3fd575e7dad6dc9b1cf288c650e91a6f,Хичээлийн байр 4,216 а,Бизнесийн сургууль,Албан ажлын өрөө,26.00,Хуваарь тавих боломжгүй,4,Проекторгүй
454d256c72bb22412f1ad73e17d5ab62,Хичээлийн байр 4,216б,Бизнесийн сургууль,Анги,58.00,Харъяа сургуульд,40,Проектортой
456cdc85df541d3167385f138ae7f6fc,Хичээлийн байр 4,219,Бизнесийн сургууль,Албан ажлын өрөө,32.00,Хуваарь тавих боломжгүй,2,Проекторгүй
dbbe8988be69d7dacdb62d7fa9e28bd5,Хичээлийн байр 4,220,Бизнесийн сургууль,Анги,25.00,Харъяа сургуульд,10,Проектортой
ca3b550700ca54d6c696a41c9980e509,Хичээлийн байр 4,221,Бизнесийн сургууль,Лекцийн заал,222.00,МУИС-н хэмжээнд,130,Проектортой
68bdff2dd89cf6065c1a4ded814735fe,Хичээлийн байр 4,300,Бизнесийн сургууль,Багш нарын өрөө,11.00,Хуваарь тавих боломжгүй,2,Проекторгүй
5d1e4eb00f543e05c1b44777c8fa2f76,Хичээлийн байр 4,301,Бизнесийн сургууль,Анги,57.00,МУИС-н хэмжээнд,36,Проектортой
af96e546937780d10eb61d2251183a86,Хичээлийн байр 4,302 a,Бизнесийн сургууль,Багш нарын өрөө,17.00,Хуваарь тавих боломжгүй,2,Проекторгүй
f8addad41c814d8f2a1ad0fabb8fcdec,Хичээлийн байр 4,302 б,Бизнесийн сургууль,Багш нарын өрөө,37.00,Хуваарь тавих боломжгүй,8,Проекторгүй
f62cd59b563a362587c4a0fdd024a4b8,Хичээлийн байр 4,303 а,Бизнесийн сургууль,Багш нарын өрөө,18.00,Хуваарь тавих боломжгүй,2,Проекторгүй
720a01366ac41486ca186b6e7798e09a,Хичээлийн байр 4,303 б,Бизнесийн сургууль,Анги,39.00,Харъяа сургуульд,34,Проектортой
1a575ed51bb3cac4036ac7fa35c93697,Хичээлийн байр 4,304б,Бизнесийн сургууль,Анги,61.00,Харъяа сургуульд,40,Проектортой
380c5d8310c90cd82b8472d23978cd9d,Хичээлийн байр 4,305,Бизнесийн сургууль,Лаборатори,62.00,МУИС-н хэмжээнд,32,Проекторгүй
1494218e90e48917ccde0cc93b80ae1b,Хичээлийн байр 4,306,Бизнесийн сургууль,Анги,62.00,Харъяа сургуульд,70,Проекторгүй
9f2caa11dbdb3c761fbab9be2d6a3990,Хичээлийн байр 4,307б,Бизнесийн сургууль,Лаборатори,42.00,МУИС-н хэмжээнд,24,Проектортой
00d012facf1521e46d2f00d1ea184a48,Хичээлийн байр 4,308,Бизнесийн сургууль,Анги,18.00,Харъяа сургуульд,24,Проектортой
5d6fa044588762f0a872592553868c5c,Хичээлийн байр 4,309,Бизнесийн сургууль,Багш нарын өрөө,16.00,Хуваарь тавих боломжгүй,3,Проекторгүй
31c270b0358aa96c20c6a8146224b215,Хичээлийн байр 4,310 a,Бизнесийн сургууль,Лаборатори,44.00,МУИС-н хэмжээнд,30,Проектортой
b78bb35901b071ca2faba93d48e228f6,Хичээлийн байр 4,310 б,Бизнесийн сургууль,Лаборатори,38.00,МУИС-н хэмжээнд,27,Проектортой
2e0bf75722d35dcbeb70286e4a6ff6e4,Хичээлийн байр 4,311,Бизнесийн сургууль,Багш нарын өрөө,7.00,Хуваарь тавих боломжгүй,1,Проекторгүй
1c7d0325d90f6a66922cbbb0e06854ad,Хичээлийн байр 4,312,Бизнесийн сургууль,Лаборатори,38.00,МУИС-н хэмжээнд,10,Проектортой
4cdc91808a0c9685b06fc23abecccba9,Хичээлийн байр 4,313,Бизнесийн сургууль,Агуулах,17.00,Хуваарь тавих боломжгүй,0,Проекторгүй
