Хөтөлбөрийн_дугаар,Хөтөлбөрийн_индекс,Хөтөлбөрийн_монгол_нэр,Хөтөлбөрийн_англи_нэр,Академик_түвшин,Суралцах_хэлбэр,Харьяалах_нэгжийн_дугаар,Харьяалах_нэгжийн_нэр,Батлагдсан_он
9f3e55c06ada4440d1220149c4a61313,"-         ",Бизнесийн сургуулийн ерөнхий суурь хөтөлбөр,Business Administration,Бакалавр,Өдрийн сургалт,bc5834e5243bdfef3aad970ee1bdbf5b,Бизнесийн сургууль,2014
a6cf49b1de9c41f7107d79f2afc15e45,F 04130101,Бизнесийн удирдлага,"Business administration ",Доктор,Өдрийн сургалт,bc5834e5243bdfef3aad970ee1bdbf5b,Бизнесийн сургууль,2014
f01740b632e0ab2cfb46b4dcdbd41a9c,"ED123     ",Бизнесийн удирдлага,"Master degree, pre-master",Магистр,Бэлтгэл,bc5834e5243bdfef3aad970ee1bdbf5b,Бизнесийн сургууль,2015
5e245f40c44f58f8913a7c082f7858d0,E 04160102,"Гадаад худалдаа, гаалийн удирдлага",Foreign Trade and Customs Management,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2016
cab40b3518c30392be6f45a473170dad,E 04160102,"Гадаад худалдаа, гаалийн удирдлага",Foreign Trade and Customs Management,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2016
a02b0cee98b118d3f5b5533401ca2f04,D 041401,Маркетинг,Marketing,Бакалавр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
5f8f8f75ec02ea15d7dbcd964d25b13c,"D 041401  ",Маркетинг,Marketing,Бакалавр,Оройгоор,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
7a60d37d076ccc3259afab02926100bb,E 04140101,Маркетинг,Marketing,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
a2b9cb21bc31f005c2ff7a545a1f96ce,E 04140101,Маркетинг,Marketing,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2015
efb827b524ab9f25d3185560cdb91af1,"D 041601  ",Худалдаа,Commerce,Бакалавр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
3eb07eef705a793ff6f56a283835fcc8,"D 041601  ",Худалдаа,"           ",Бакалавр,Оройгоор,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
12bca7837762600001dc38675832e517,"D 041601  ",Худалдаа,Commerce,Бакалавр,Эчнээ,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
0bea3d76dc8ca08fc2b5a9b5da7acbef,E 04160101,Худалдаа,Commerce,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2015
525aa044fda34aa7ab2e3ecd47ddb87e,E 04160101,Худалдаа,Commerce,Магистр,Өдрийн сургалт,4697803616488f659934284de8707375,Маркетинг худалдааны тэнхим,2014
630ef14c978d9473b29b5fb69c89fedd,"D 041304  ",Аялал жуулчлалын менежмент,"Tourism management              ",Бакалавр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
cc939f3dc04ab79fcdf3b649f92baec5,E 04130401,Аялал жуулчлалын менежмент,Tourism management,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
3c4a9990adfb009b86445a1b9b3b81fd,E 04130401,Аялал жуулчлалын менежмент,-,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2015
8717dfcfa472f27e46b3bca5aa0e6166,E 04130201,Бизнесийн менежмент,Business management,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2017
6f019fa6add6a809cd546f1052360ac6,E 04130201,Бизнесийн менежмент,Business management,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2017
e63ccdbd4d8c1f2b272dd4ab4c2abb9e,D 041301,Бизнесийн удирдлага /NCC/.Сургалтын төлбөр 3300 ам.доллар. IELTS-ын 4.5-5.5 оноо авсан байна.,"              ",Бакалавр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
ad8c8fd82b5c39a331e9fab35e07ca1e,"D 101301  ",Зочлох үйлчилгээ,Hospitality,Бакалавр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
91d5b097be29c7214edeb8defe93b9c3,E 10130101,Зочлох үйлчилгээ,Hospitality,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
0b2849227e7de2f633977a7fc83f4950,E 10130101,Зочлох үйлчилгээ /,-,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2015
23e8b413e0c1f907347124cbee8dbc1c,"D 041302  ",Менежмент,Management,Бакалавр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2014
7ce43c26c04341a20fbce6d436d660da,E 04130202,Хүний нөөцийн менежмент,Human,Магистр,Өдрийн сургалт,d24cfc0c4e133f07ad83ada5273545d5,Менежментийн тэнхим,2018
582c9526b4ba261341a599d529401e48,"D 041101  ",Нягтлан бодох бүртгэл,Accounting,Бакалавр,Өдрийн сургалт,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2014
ded56faf5666abdaaa06dc383a5c8dd8,"D 041101  ",Нягтлан бодох бүртгэл,Accounting,Бакалавр,Оройгоор,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2014
0ddc12950c1ded9efee8e08ec50d176e,"D 041101  ",Нягтлан бодох бүртгэл,Accounting,Бакалавр,Эчнээ,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2014
9bdd10cd5aeb5c830221483a7a0db494,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,Өдрийн сургалт,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2015
1558a2a10c03e6a78dcac0b2dd76dac6,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,Өдрийн сургалт,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2014
051be4f205fcf7461ecb22e2ae636305,E 04160103,Үл хөдлөх хөрөнгийн үнэлгээ,"Real estate valuation ",Магистр,Өдрийн сургалт,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2017
8143f880d3f63dae773bba72caf67233,E 04160103,Үл хөдлөх хөрөнгийн үнэлгээ,Real estate valuation,Магистр,Өдрийн сургалт,a1a930c2eafb0161875b9e2f6085258e,Нягтлан бодох бүртгэлийн тэнхим,2017
a4fe004a3a0bad5652f080838d7fc0e5,D 041203,Банк,Banking,Бакалавр,Өдрийн сургалт,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2018
7aa3353772d23afeeca1c7fec457ab46,"D 041202  ",Даатгал,Insurance,Бакалавр,Өдрийн сургалт,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2014
c2f712f087c7d28e042e341eec9fc3f3,D 041201,Санхүү,Finance,Бакалавр,Өдрийн сургалт,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2014
c9c307c93a2ee7d6935a656a3b250ecb,D 041201,Санхүү,"Finance ",Бакалавр,Оройгоор,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2018
a0ff1b67622fdb1fb40e40c5cebc83dc,E 04120101,Санхүү,Finance,Магистр,Өдрийн сургалт,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2017
9d84a76dd03d38696b6ecf44c2f60464,E 04120101,Санхүү,Finance,Магистр,Өдрийн сургалт,536140d151337e50be195ef92303cd3b,Санхүүгийн тэнхим,2017
73a2b4f1244d02c066d013b9b2bc8e95,"          ",Ерөнхий суурь хөтөлбөр,123,Бакалавр,Өдрийн сургалт,75c49ef71e2bcac0b7db73bef7ab816b,Ерөнхий эрдмийн тэнхим,2014
ac700d34d81b2cf206ec3216edeebab9,"-         ",ЗС-ийн иргэнд зориулсан сургалт,,Бакалавр,Өдрийн сургалт,75c49ef71e2bcac0b7db73bef7ab816b,Ерөнхий эрдмийн тэнхим,2019
5bce90ec81458b9b518358ba3bb4aa04,"D 031202  ","Төрийн удирдлага /Завхан сургууль болон ОУХНУС-ийн ""2+2"" жилийн хамтарсан хөтөлбөр/",International relations,Бакалавр,Өдрийн сургалт,75c49ef71e2bcac0b7db73bef7ab816b,Ерөнхий эрдмийн тэнхим,2018
6761cb57f8ea4114d815450a3affd49e,"D 071401  ",Электроник,Electronic,Бакалавр,Өдрийн сургалт,75c49ef71e2bcac0b7db73bef7ab816b,Ерөнхий эрдмийн тэнхим,2015
702272ca56ccb7e39ebd891ee5b808f7,"D 041401  ",Маркетинг,Marketing,Бакалавр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
2c0d16950481c1022d7894d43f7dedb4,"          ",Маркетинг,Marketing,Магистр,Бэлтгэл,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
b9e4ffeec17e9ddac692f67fb048bdc6,E 04140101,Маркетинг,Marketing,Магистр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
67ebb5979d048e668a24e0b685c0cd68,E 04140101,Маркетинг,Marketing,Магистр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
ae095fdd0355cf6bc2f2dd4f38886752,D 041302,Менежмент,Management,Бакалавр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
bacc748d87243cd255415460d040eb18,E 04130201,Менежмент,Management,Магистр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
c7c5f3d1cc2a8f91c5968bce607e320f,D 041101,Нягтлан бодох бүртгэл,Accounting,Бакалавр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2014
87ed156355c849bfd28562bf4824033f,D 041101,Нягтлан бодох бүртгэл,Accounting,Бакалавр,Эчнээ,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
79482d0eac3cd48eb70a56dfc2202bfc,"          ",Нягтлан бодох бүртгэл,Accounting,Магистр,Бэлтгэл,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
75e2a5e667b4ca1ef02bf8d7025ea4dc,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2015
a963f805cb4bb27a7a20546ff15405dc,E 04110101,Нягтлан бодох бүртгэл,Accounting,Магистр,Өдрийн сургалт,5b4840b08afb1eb1214c9face003af6b,Нягтлан бодох бүртгэлийн тэнхим,2014
